"ParmSetID","Genotype","PlntN_Em","PlntN_Mt","relTT_Sn","RootSenFac","RUEmax","RWPC1","TbaseDev","TTtoMatr","ActO2CO2","Slow2CO2"
70,"Baseline","0.0125","0.0087","0.61","0.0017","3.68","0.767","10.4","1050","0.686","0.646"
70,"Adapted","0.0125","0.0087","0.61","0.0017","3.68","0.767","10.4","1365","0.686","0.646"
71,"Baseline","0.0165","0.00822","0.811","0.00206","3.54","0.564","7.89","1100","0.701","0.565"
71,"Adapted","0.0165","0.00822","0.811","0.00206","3.54","0.564","7.89","1430","0.701","0.565"
72,"Baseline","0.0158","0.00749","0.762","0.00143","2.7","0.663","8.66","1110","0.584","0.726"
72,"Adapted","0.0158","0.00749","0.762","0.00143","2.7","0.663","8.66","1443","0.584","0.726"
73,"Baseline","0.0128","0.00795","0.564","0.00181","2.69","0.683","10.7","1080","0.575","0.692"
73,"Adapted","0.0128","0.00795","0.564","0.00181","2.69","0.683","10.7","1404","0.575","0.692"
74,"Baseline","0.0139","0.00871","0.747","0.00188","3.27","0.679","11.3","1110","0.776","0.613"
74,"Adapted","0.0139","0.00871","0.747","0.00188","3.27","0.679","11.3","1443","0.776","0.613"
75,"Baseline","0.0144","0.00906","0.594","0.00176","3.39","0.682","11.3","1390","0.581","0.577"
75,"Adapted","0.0144","0.00906","0.594","0.00176","3.39","0.682","11.3","1807","0.581","0.577"
76,"Baseline","0.0172","0.00935","0.672","0.00184","3.67","0.629","10.4","935","0.56","0.544"
76,"Adapted","0.0172","0.00935","0.672","0.00184","3.67","0.629","10.4","1215.5","0.56","0.544"
77,"Baseline","0.0171","0.0076","0.797","0.00162","2.57","0.827","8.08","984","0.725","0.573"
77,"Adapted","0.0171","0.0076","0.797","0.00162","2.57","0.827","8.08","1279.2","0.725","0.573"
78,"Baseline","0.0168","0.00825","0.701","0.00196","3.58","0.69","11","1080","0.653","0.546"
78,"Adapted","0.0168","0.00825","0.701","0.00196","3.58","0.69","11","1404","0.653","0.546"
79,"Baseline","0.0153","0.00772","0.839","0.00209","3.68","0.744","7.85","1090","0.657","0.734"
79,"Adapted","0.0153","0.00772","0.839","0.00209","3.68","0.744","7.85","1417","0.657","0.734"
80,"Baseline","0.0124","0.00891","0.692","0.00205","2.71","0.666","10.2","1140","0.663","0.572"
80,"Adapted","0.0124","0.00891","0.692","0.00205","2.71","0.666","10.2","1482","0.663","0.572"
81,"Baseline","0.0174","0.00679","0.819","0.00182","3.55","0.612","8.23","1330","0.703","0.721"
81,"Adapted","0.0174","0.00679","0.819","0.00182","3.55","0.612","8.23","1729","0.703","0.721"
82,"Baseline","0.013","0.00811","0.727","0.00186","3.11","0.749","7.85","1120","0.775","0.543"
